app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_original,steam_deck,real,tags
665270,弹幕音乐绘 ～风雷幻奏曲～ / Barrage Musical  ~A Fantasy of Tempest~,2017-10-07,TRUE,FALSE,FALSE,Very Positive,96,303,9.99,TRUE,1,"['Indie', 'Action', 'Bullet Hell', 'Great Soundtrack', ""Shoot 'Em Up"", 'Anime', 'Shooter', 'Female Protagonist', 'Rhythm']"
1700220,东方远空界 ~ Ultimate Vitality of Imagination,2022-02-07,TRUE,FALSE,FALSE,Very Positive,89,57,9.99,TRUE,1,"['Casual', 'Bullet Hell', 'Faith', 'Anime', 'Multiple Endings', 'Action', 'Top-Down', 'Flight', 'Singleplayer', ""Shoot 'Em Up"", 'Third-Person Shooter', 'Score Attack', 'Shooter', 'Top-Down Shooter', 'Third Person', ""Beat 'em up"", 'Psychedelic', 'Trains', 'Fantasy', 'Combat']"
1115580,Grand Brix Shooter,2019-08-29,TRUE,FALSE,FALSE,Very Positive,96,52,9.99,TRUE,1,"['Action', 'Indie', 'Casual', ""Shoot 'Em Up"", 'Bullet Hell', 'Space', 'Roguelite', 'Arcade', 'Shooter', 'Side Scroller', 'Local Co-Op', 'Difficult', 'Addictive', 'Roguelike', 'Sci-fi', 'Classic', 'Local Multiplayer', 'Controller', 'Soundtrack', 'Action Roguelike']"
2053360,PUTRID SHOT ULTRA,2022-11-07,TRUE,FALSE,FALSE,Positive,100,21,2.99,TRUE,0,"['Action Roguelike', 'Arena Shooter', 'Retro', ""Shoot 'Em Up"", 'Side Scroller', 'Roguelite', 'Roguelike', 'Minimalist', 'Pixel Graphics', 'Bullet Hell', 'Magic', 'Platformer', 'Action RPG', 'Arcade', 'RPG', '2D', 'Controller', 'Action', 'Combat', 'Singleplayer']"
465070,TRIZEAL Remix,2016-07-07,TRUE,FALSE,FALSE,Positive,90,22,11.99,TRUE,1,"['Action', ""Shoot 'Em Up"", 'Bullet Hell', 'Arcade']"
253750,Ikaruga,2014-02-18,TRUE,FALSE,FALSE,Very Positive,94,1851,9.99,TRUE,1,"[""Shoot 'Em Up"", 'Bullet Hell', 'Arcade', 'Classic', 'Action', 'Great Soundtrack', 'Shooter', 'Sci-fi', 'Difficult', 'Indie', 'Local Co-Op', 'Addictive', '2D', 'Singleplayer', 'Retro', 'Space', 'Co-op', 'Controller', 'Local Multiplayer', 'Puzzle']"
2076850,Keyboard Warrior: Dreamstate,2022-07-23,TRUE,FALSE,TRUE,Positive,100,11,4.99,TRUE,0,"['Faith', 'Action Roguelike', 'Artificial Intelligence', 'Bullet Hell', 'Roguelite', 'Roguelike', '2D', 'Top-Down', 'Action', 'Pixel Graphics', 'Singleplayer', 'Score Attack', ""Shoot 'Em Up"", 'Replay Value', 'Fast-Paced', 'Difficult', 'Stylized', 'Colorful', 'Twin Stick Shooter', 'Top-Down Shooter']"
1204470,Space Elite Force II,2020-02-03,TRUE,FALSE,TRUE,Very Positive,92,79,4.99,TRUE,0,"['Bullet Hell', ""Shoot 'Em Up"", 'Side Scroller', 'Gun Customization', 'Action', '2D', 'Pixel Graphics', 'Arcade', 'Shooter', 'Colorful', 'Casual', 'Space', 'Sci-fi', 'Stylized', 'Score Attack', 'Jet', 'Retro', ""1990's"", 'Rock Music', 'Local Co-Op']"
522040,Princess Remedy 2: In A Heap of Trouble,2016-09-08,TRUE,TRUE,TRUE,Very Positive,96,323,4.99,TRUE,0,"['Indie', 'Female Protagonist', 'Action', 'Retro', 'RPG', 'Cute', 'Bullet Hell', 'Pixel Graphics', 'Great Soundtrack', '2D', ""Shoot 'Em Up"", 'Singleplayer', 'Short', 'LGBTQ+', 'Adventure']"
355050,Sky Force Anniversary,2015-04-29,TRUE,TRUE,TRUE,Very Positive,92,1803,9.99,TRUE,0,"[""Shoot 'Em Up"", 'Action', 'Bullet Hell', 'Indie', 'Arcade', 'Retro', 'Top-Down Shooter', 'Local Co-Op', 'Shooter', 'Score Attack', 'Replay Value', 'Colorful', '2.5D', 'Classic', 'Co-op', 'War', 'Addictive', 'Great Soundtrack', 'Singleplayer']"
1546930,Angry Angry Shark,2022-01-01,TRUE,FALSE,FALSE,Very Positive,84,250,0.0,TRUE,0,"['Action', 'Adventure', 'Action-Adventure', 'Shooter', 'Bullet Hell', 'FPS', ""Shoot 'Em Up"", '3D', 'First-Person', 'Realistic', 'Atmospheric', 'Dark', 'Horror', 'Military', 'Mystery', 'Post-apocalyptic', 'Relaxing', 'Survival', 'Survival Horror', 'Tactical']"
667600,Sky Force Reloaded,2017-11-29,TRUE,TRUE,TRUE,Very Positive,93,1819,9.99,TRUE,0,"[""Shoot 'Em Up"", 'Arcade', 'Bullet Hell', 'Local Co-Op', 'Top-Down', 'Action', 'Top-Down Shooter', 'Indie', 'Local Multiplayer', 'Controller', 'Score Attack', 'Singleplayer', 'Old School', 'Shooter', 'Colorful', '2.5D', 'Replay Value', 'War', 'Flight', 'Retro']"
1773060,Shoot Trip Die,2022-05-05,TRUE,FALSE,FALSE,Positive,91,45,4.99,TRUE,0,"['Action Roguelike', 'Bullet Hell', ""Shoot 'Em Up"", 'Twin Stick Shooter', 'Roguelite', 'Perma Death', 'Shooter', 'Arcade', 'Roguelike', '2D', 'Dark Humor', 'Dark Comedy', 'Procedural Generation', 'Controller', 'Action', 'Cartoony', 'Colorful', 'Pixel Graphics', 'Psychedelic', 'Psychological']"
640380,UBERMOSH Vol.5,2017-05-25,TRUE,FALSE,TRUE,Very Positive,95,285,0.99,TRUE,0,"['Indie', 'Action', 'Arcade', 'Fast-Paced', 'Retro', 'Pixel Graphics', 'Bullet Hell', 'Singleplayer', 'Top-Down Shooter', 'Difficult', 'Gore', 'Open World', 'Shooter', 'Twin Stick Shooter', ""Shoot 'Em Up"", 'Isometric', 'Top-Down', 'Cyberpunk', 'Roguelike', 'Action Roguelike']"
564040,ZANGEKI WARP,2017-02-15,TRUE,FALSE,TRUE,Positive,81,33,5.99,TRUE,1,"['Action', 'Indie', ""Shoot 'Em Up"", '2D', 'Bullet Hell', 'Singleplayer', 'Casual', 'Shooter', 'Pixel Graphics', 'Great Soundtrack', 'Mechs', 'Arcade', 'Sci-fi', 'Robots', 'Score Attack', 'Controller']"
704910,Tenta Shooter,2017-12-08,TRUE,FALSE,FALSE,Very Positive,93,92,9.99,TRUE,1,"['Female Protagonist', 'Sexual Content', 'Hentai', 'Action', 'Casual', 'Bullet Hell', 'Mature', ""Shoot 'Em Up"", 'Pixel Graphics', 'Nudity', 'Anime', 'Fantasy', '2D', 'Arcade', 'Singleplayer', 'Indie', 'Dark Fantasy', 'Cute', 'Psychological Horror', 'Violent']"
303720,#KILLALLZOMBIES,2016-08-10,TRUE,FALSE,FALSE,Very Positive,80,247,9.99,TRUE,0,"['Action', 'Indie', 'Twin Stick Shooter', 'Zombies', 'Co-op', 'Shooter', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Bullet Hell', 'Third Person', 'Hex Grid', 'Local Co-Op', 'Action Roguelike', 'Arcade', 'Arena Shooter', 'Top-Down', '3D', 'Choices Matter', 'Female Protagonist', 'PvE']"
448160,WOLFLAME,2016-04-21,TRUE,FALSE,TRUE,Very Positive,88,85,5.99,TRUE,1,"[""Shoot 'Em Up"", 'Action', 'Indie', 'Arcade', 'Shooter', 'Bullet Hell', 'Singleplayer', '2D', 'Pixel Graphics', 'Casual', 'Top-Down', 'Retro', 'Sci-fi', 'Score Attack']"
994500,Sky Racket,2019-10-22,TRUE,TRUE,TRUE,Very Positive,94,95,14.99,TRUE,1,"['Indie', ""Shoot 'Em Up"", 'Pixel Graphics', 'Bullet Hell', 'Local Co-Op', 'Funny', 'Family Friendly', 'Female Protagonist', 'Sports', 'Fantasy', 'Sci-fi', 'Controller', '2D', 'Arcade', 'Side Scroller', 'Colorful', 'Cute', ""1990's"", 'Space', 'Multiple Endings']"
1867740,Like Dreamer,2022-07-21,TRUE,FALSE,FALSE,Very Positive,98,73,13.99,TRUE,1,"['Action', 'Shooter', ""Shoot 'Em Up"", 'Bullet Hell', '2D Platformer', 'Top-Down Shooter', '2D', 'Cute', 'Anime', 'Colorful', 'Cartoon', 'Cartoony', 'Comic Book', 'Top-Down', 'Comedy', 'Hacking', 'Parody', 'Fantasy', 'Memes', 'Mechs']"
892830,VRITRA COMPLETE EDITION,2018-08-30,TRUE,FALSE,FALSE,Positive,96,28,13.99,TRUE,1,"['Action', 'Indie', 'Casual', ""Shoot 'Em Up"", 'Bullet Hell', 'Arcade', 'Great Soundtrack']"
281860,RefleX,2014-03-27,TRUE,FALSE,FALSE,Very Positive,92,98,7.99,TRUE,1,"[""Shoot 'Em Up"", 'Indie', 'Action', 'Bullet Hell', 'Shooter', 'Arcade', 'Great Soundtrack', 'Epic', 'Singleplayer', 'Retro']"
355240,NEO AQUARIUM - The King of Crustaceans -,2015-06-08,TRUE,FALSE,FALSE,Very Positive,83,214,8.99,TRUE,0,"['Indie', 'Action', 'Underwater', 'Shooter', 'Bullet Hell', 'Multiplayer', 'Comedy', 'Fighting', ""Shoot 'Em Up"", 'Singleplayer', 'Memes', 'Arcade', 'Sci-fi', 'Third Person', 'Funny', 'Great Soundtrack', 'Sandbox', 'Fantasy', 'Survival', 'Atmospheric']"
